uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
RS_QUINZE DE NOVEMBRO,3836,0.365,4.8749,0.2868,7.1689,23.4619,0.0521,61.9395,0.9906,0.0,0.2086,0.5474,0.1043
RS_REDENTORA,9507,0.4523,3.8708,0.0947,4.8491,4.4704,0.1473,84.99,0.5259,0.0105,0.2524,0.263,0.0736
RS_RELVADO,2332,0.4288,2.8731,0.1715,9.9057,2.6158,0.1286,82.1612,0.6861,0.0,0.8148,0.0858,0.1286
RS_RESTINGA SECA,19623,0.5045,2.5939,0.1274,4.0616,6.4516,0.0815,84.9157,0.6574,0.0612,0.2293,0.1937,0.1223
RS_RIO DOS INDIOS,3394,0.6482,2.475,0.2357,6.7177,3.241,0.1473,84.7967,1.0018,0.1179,0.4125,0.1179,0.0884
RS_RIO GRANDE,238325,0.3957,1.2563,0.1813,3.3517,2.7043,0.0608,91.217,0.3,0.0327,0.3906,0.0873,0.0222
RS_RIO PARDO,48781,0.3526,1.1808,0.1086,2.4374,4.1922,0.3239,90.4758,0.4182,0.0143,0.3054,0.1496,0.041
RS_RIOZINHO,5021,0.3983,2.0912,0.2987,6.2338,6.194,0.1792,83.1906,0.7369,0.0597,0.2589,0.3187,0.0398
RS_ROCA SALES,14102,0.4467,3.7512,0.4751,5.8857,7.2897,0.2269,79.9461,1.248,0.0213,0.3262,0.2127,0.1702
RS_RODEIO BONITO,9330,0.5359,2.433,0.2787,6.7417,3.5691,0.0857,84.866,0.9218,0.0107,0.3859,0.0965,0.075
RS_ROLADOR,1639,0.183,1.4643,0.2441,3.6608,8.1147,0.0,85.1129,0.3661,0.0,0.3051,0.5491,0.0
RS_ROLANTE,26020,0.5265,2.5749,0.246,4.7963,6.7371,0.123,83.3013,1.0069,0.0423,0.2575,0.2421,0.146
RS_RONDA ALTA,13657,0.5052,2.5848,0.205,5.9091,2.7458,0.1391,86.1829,0.8933,0.0513,0.4613,0.1757,0.1464
RS_RONDINHA,6998,0.5144,2.4721,0.1429,6.902,2.5293,0.1286,85.3387,0.986,0.0,0.6716,0.1286,0.1858
RS_ROQUE GONZALES,9203,0.4346,2.2275,0.2608,3.5641,18.733,0.1087,72.9871,0.6085,0.0109,0.2391,0.7498,0.0761
RS_ROSARIO DO SUL,53568,0.5339,0.715,0.0821,3.5189,2.3428,0.0579,92.1987,0.1773,0.0112,0.2875,0.0616,0.0131
RS_SAGRADA FAMILIA,2708,0.1108,2.6588,0.0369,4.1728,6.0192,0.1477,85.6721,0.6278,0.0369,0.1477,0.2585,0.1108
RS_SALDANHA MARINHO,3240,0.3086,2.963,0.0617,7.1914,8.8272,0.0926,79.2593,0.7716,0.0,0.2778,0.1852,0.0617
RS_SALTO DO JACUI,13465,0.2079,1.6784,0.2154,4.7234,6.3424,0.1857,85.7482,0.3936,0.0149,0.2822,0.1634,0.0446
RS_SALVADOR DAS MISSOES,2657,1.242,3.6131,0.2635,5.4573,16.3342,0.0753,71.2834,0.6775,0.0,0.6022,0.414,0.0376
RS_SALVADOR DO SUL,10399,0.7885,3.4715,0.6058,5.5198,8.8759,0.1442,78.6999,1.1828,0.0288,0.4424,0.1154,0.125
RS_SANANDUVA,18884,0.4078,2.6372,0.2436,7.0907,3.5215,0.2383,84.5637,0.8049,0.0477,0.2754,0.0953,0.0741
RS_SANT'ANA DO LIVRAMENTO,123276,0.2734,1.3271,0.1071,3.7177,1.9825,0.0771,91.5442,0.2328,0.0211,0.6051,0.0779,0.0341
